PC	Variance	Percent	Cumulative
PC541	0.000240595191821937	0.0240595191821937	92.0897693954944
PC542	0.000240198347675522	0.0240198347675522	92.113789230262
PC543	0.000239997378161062	0.0239997378161062	92.1377889680781
PC544	0.000239604228175131	0.0239604228175131	92.1617493908956
PC545	0.000239010295994621	0.0239010295994621	92.1856504204951
PC546	0.000238477668316615	0.0238477668316615	92.2094981873268
PC547	0.000238025698067781	0.0238025698067781	92.2333007571335
PC548	0.000236750140282272	0.0236750140282272	92.2569757711618
PC549	0.000236458581626975	0.0236458581626975	92.2806216293244
PC550	0.000236000529536565	0.0236000529536565	92.3042216822781
PC551	0.000235388213634287	0.0235388213634287	92.3277605036415
PC552	0.000234966605624802	0.0234966605624802	92.351257164204
PC553	0.000234140292766247	0.0234140292766247	92.3746711934806
PC554	0.000233967579969145	0.0233967579969145	92.3980679514776
PC555	0.000233292786312197	0.0233292786312197	92.4213972301088
PC556	0.000232558925382603	0.0232558925382603	92.444653122647
PC557	0.000232183256133074	0.0232183256133074	92.4678714482604
PC558	0.000231905964249365	0.0231905964249365	92.4910620446853
PC559	0.000230872619022981	0.0230872619022981	92.5141493065876
PC560	0.000230343033913112	0.0230343033913112	92.5371836099789
PC561	0.000229917856567903	0.0229917856567903	92.5601753956357
PC562	0.000229224969948585	0.0229224969948585	92.5830978926305
PC563	0.000228668789140421	0.0228668789140421	92.6059647715446
PC564	0.000228022642732334	0.0228022642732334	92.6287670358178
PC565	0.000227950331091392	0.0227950331091392	92.651562068927
PC566	0.000227219311122141	0.0227219311122141	92.6742840000392
PC567	0.000226239353974112	0.0226239353974112	92.6969079354366
PC568	0.000225887729173827	0.0225887729173827	92.719496708354
PC569	0.000225051977284724	0.0225051977284724	92.7420019060824
PC570	0.000224605618545816	0.0224605618545816	92.764462467937
PC571	0.000223964378078962	0.0223964378078962	92.7868589057449
PC572	0.00022388505270548	0.022388505270548	92.8092474110155
PC573	0.000223642390527966	0.0223642390527966	92.8316116500682
PC574	0.000222905467116772	0.0222905467116772	92.8539021967799
PC575	0.000222840857865643	0.0222840857865643	92.8761862825665
PC576	0.000222522903574984	0.0222522903574984	92.898438572924
PC577	0.000221554254543317	0.0221554254543317	92.9205939983783
PC578	0.000220285088080734	0.0220285088080734	92.9426225071864
PC579	0.000220061052452192	0.0220061052452192	92.9646286124316
PC580	0.000219537820376386	0.0219537820376386	92.9865823944693
PC581	0.00021924286946899	0.021924286946899	93.0085066814162
PC582	0.000218723431800046	0.0218723431800046	93.0303790245962
PC583	0.000217909926402587	0.0217909926402587	93.0521700172364
PC584	0.000217582370756056	0.0217582370756056	93.073928254312
PC585	0.000217207357159589	0.0217207357159589	93.095648990028
PC586	0.000216641945141681	0.0216641945141681	93.1173131845422
PC587	0.00021618417426763	0.021618417426763	93.1389316019689
PC588	0.000215739809155937	0.0215739809155937	93.1605055828845
PC589	0.000214943796888891	0.0214943796888891	93.1819999625734
PC590	0.000214874273024788	0.0214874273024788	93.2034873898759
PC591	0.000213915536603787	0.0213915536603787	93.2248789435363
PC592	0.000213559646754942	0.0213559646754942	93.2462349082117
PC593	0.000213190482245828	0.0213190482245828	93.2675539564363
PC594	0.000212328369295454	0.0212328369295454	93.2887867933659
PC595	0.000212112180399096	0.0212112180399096	93.3099980114058
PC596	0.000211746013671088	0.0211746013671088	93.3311726127729
PC597	0.000210769751329224	0.0210769751329224	93.3522495879058
PC598	0.000210578666711219	0.0210578666711219	93.3733074545769
PC599	0.000210146191252134	0.0210146191252134	93.3943220737022
PC600	0.000209944991262844	0.0209944991262844	93.4153165728284
PC601	0.000209606607559022	0.0209606607559022	93.4362772335844
PC602	0.000208676509025549	0.0208676509025549	93.4571448844869
PC603	0.000208172360109868	0.0208172360109868	93.4779621204979
PC604	0.000207683407539735	0.0207683407539735	93.4987304612519
PC605	0.00020722491188408	0.020722491188408	93.5194529524403
PC606	0.000206991352556751	0.0206991352556751	93.5401520876959
PC607	0.000206786474871432	0.0206786474871432	93.5608307351831
PC608	0.00020629433737255	0.020629433737255	93.5814601689203
PC609	0.000205936124155934	0.0205936124155934	93.6020537813359
PC610	0.000204994272441259	0.0204994272441259	93.62255320858
PC611	0.000204809143765807	0.0204809143765807	93.6430341229566
PC612	0.000204472591594487	0.0204472591594487	93.6634813821161
PC613	0.000204301323672552	0.0204301323672552	93.6839115144833
PC614	0.000203636398030515	0.0203636398030515	93.7042751542864
PC615	0.000203414078886568	0.0203414078886568	93.724616562175
PC616	0.000202544249010462	0.0202544249010462	93.7448709870761
PC617	0.000202189329548634	0.0202189329548634	93.765089920031
PC618	0.00020180858271412	0.020180858271412	93.7852707783024
PC619	0.000201145279378554	0.0201145279378554	93.8053853062402
PC620	0.000200768607914952	0.0200768607914952	93.8254621670317
PC621	0.00020016410243821	0.020016410243821	93.8454785772755
PC622	0.000199469141020849	0.0199469141020849	93.8654254913776
PC623	0.000198880835612011	0.0198880835612011	93.8853135749388
PC624	0.000198501151224322	0.0198501151224322	93.9051636900613
PC625	0.000198362076718178	0.0198362076718178	93.9249998977331
PC626	0.000197970985443048	0.0197970985443048	93.9447969962774
PC627	0.000197766384237874	0.0197766384237874	93.9645736347012
PC628	0.000197172665377043	0.0197172665377043	93.9842909012389
PC629	0.000196837074175368	0.0196837074175368	94.0039746086564
