Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
SPDEF	-3.59944136763559	10.8086591133005	-16.56127038071	1.0261912184185e-55	1.74642223154719e-53	115.88037979677
PAK1IP1	0.901439966588688	8.52740353037767	16.5559257885004	1.10334948857732e-55	1.86208615355565e-53	115.808406479485
MGC2889	1.88068231206148	1.53567783251232	16.554541231851	1.12426434073952e-55	1.88170259740965e-53	115.78976364264
KCNK15	-3.34312515202139	6.29488070607553	-16.551138320892	1.17736332763772e-55	1.95442312387862e-53	115.743948163976
FLJ45983	-3.85339706648847	6.64053489326765	-16.5384927476858	1.39754672033261e-55	2.30106635611187e-53	115.57374515246
AFF3	-3.57287236217841	9.98120977011494	-16.5026936059194	2.2696278975909e-55	3.70681485338798e-53	115.092352690339
REEP6	-2.97130189330659	9.41380041050903	-16.4948770516786	2.52288498956066e-55	4.07507918254632e-53	114.987330957067
KIAA1370	-1.5816213119501	10.3652789819376	-16.4945126939962	2.53535441932074e-55	4.07507918254632e-53	114.982436285038
HSPA14	0.802216765786854	9.19305706075534	16.4554666975808	4.29861528586347e-55	6.85476824955172e-53	114.458301219162
RIOK1	0.846238006459501	8.95717643678161	16.4432114001263	5.07253366412738e-55	8.02569935671154e-53	114.293954368448
GPN1	0.613102229646936	9.75988357963875	16.4125617941586	7.67157993722372e-55	1.20437858053221e-52	113.883275474033
RABEP1	-1.34314024056131	11.5308582101806	-16.3982843216175	9.30043872677214e-55	1.44886526995838e-52	113.692135765219
ATP6AP1L	-1.31719839625793	5.68100114942529	-16.3938057118011	9.87924534544334e-55	1.52728608195358e-52	113.632200180781
CAPN8	-4.14005720013365	6.73115878489327	-16.3459145968206	1.88288035479681e-54	2.88879492010189e-52	112.99194363283
TSC22D3	-1.36439924490478	11.5946378489327	-16.3427820261057	1.96393004713365e-54	2.99048957252261e-52	112.95010592975
SUOX	-0.898753901325316	9.46461986863711	-16.3224872700447	2.58019414599153e-54	3.89955909288212e-52	112.679179198671
ROPN1	4.2148311059138	3.19414113300493	16.3192110212905	2.69635914408639e-54	4.04493817674352e-52	112.635462786791
ABAT	-2.58265069161378	9.48545008210181	-16.3100546881289	3.04940864928415e-54	4.54092823274284e-52	112.513315617458
ABLIM3	-2.4446595344693	8.9477842364532	-16.3090481083883	3.0909290426674e-54	4.56916021694162e-52	112.499890334299
ATP6V1C2	1.88068696736831	6.34576551724138	16.3056379526298	3.2358295383535e-54	4.74869708773442e-52	112.454411235348
CCKBR	2.74958322530349	1.22118973727422	16.2932298130298	3.82259967321429e-54	5.569445221722e-52	112.288983075589
ILF2	0.872165292348818	12.2586609195402	16.2870862064307	4.15125873845926e-54	6.00509228366263e-52	112.207104958388
MEMO1	0.859103456955102	8.63963784893268	16.2538480408269	6.48380283384681e-54	9.31276418376352e-52	111.764470960269
YEATS2	0.910103975943882	9.89598193760263	16.2383484120671	7.98080484363353e-54	1.13822013868497e-51	111.558260196882
OLAH	2.27455772803207	1.09454630541872	16.2258280343772	9.43805687507176e-54	1.33664005478289e-51	111.391778397113
RRP1B	0.745470050116925	10.1062276683087	16.2205185444651	1.01334924608005e-53	1.42516312025092e-51	111.321203742005
MSH2	0.893955353602841	9.84052824302135	16.2109073940759	1.15248425526957e-53	1.60966283708409e-51	111.193488461869
PPPDE1	0.922734787838275	10.3942233990148	16.1979067264216	1.37145863127568e-53	1.9023822055202e-51	111.020809978415
TTC8	-1.03066968036531	9.06808727422003	-16.1945949852941	1.43357781661353e-53	1.97502162871137e-51	110.976836766811
BBS4	-1.00104662880053	8.66446059113301	-16.1841382932913	1.64873093411279e-53	2.25608776200352e-51	110.838031102334
CYP2B7P1	-5.63830221405502	7.62566904761905	-16.167851935034	2.04967453030111e-53	2.78590661662134e-51	110.62195557685
GREB1	-3.14085141775251	9.89613037766831	-16.1593236213369	2.29701448893596e-53	3.10127582866207e-51	110.508864106431
PALM	-2.03245526450607	9.00995853858785	-16.1489702538704	2.63759777824352e-53	3.53752517913827e-51	110.371622888014
KIAA0141	-0.714130836396031	9.98536133004926	-16.1170903412184	4.03592306344235e-53	5.37733643952859e-51	109.949388994484
CLSTN2	-3.28505134202026	9.11514466338259	-16.0503310429778	9.81824109921565e-53	1.2996014296818e-50	109.066945293209
ANP32E	1.44742064372425	10.319797044335	16.0487821321333	1.00225752582668e-52	1.3180337281196e-50	109.046499542756
INA	2.78207888851765	1.74747972085386	16.0383152055128	1.15190275730494e-52	1.50505384780256e-50	108.908368841803
SERBP1	0.659065617552068	12.549361001642	16.0309605832144	1.27018373657853e-52	1.648959040589e-50	108.811345849887
MICALL1	1.14796547054237	9.37012955665025	16.0246515582754	1.3812494578677e-52	1.78172382297686e-50	108.728139543691
UBXN10	-2.54866686936184	7.49211600985222	-16.019932818001	1.4706017805286e-52	1.88497640881425e-50	108.665920559376
USP1	0.96586888517653	10.3696004926108	16.0074708821604	1.73526025416891e-52	2.210219538832e-50	108.50166092313
PRIM2	0.936397309277195	7.6309105090312	16.0065887490273	1.75570127502784e-52	2.22227888886649e-50	108.490036759299
GTPBP4	0.900836714556188	10.3534426108374	16.0029477012418	1.84264404348275e-52	2.31784019680824e-50	108.442061865085
STMN1	1.48769853658537	11.5822288998358	15.9937177399434	2.08275812611877e-52	2.60370478828132e-50	108.320478596938
PNPLA4	-1.22291897093217	9.01261165845649	-15.9931148091422	2.09948692129551e-52	2.60851589755071e-50	108.312537975702
JOSD1	0.654862516984075	10.4695892446634	15.988166444385	2.24194265072231e-52	2.76852576600172e-50	108.247375193994
SYTL4	-1.62761312172849	9.00488727422003	-15.9841035692329	2.36608086188112e-52	2.90411330998887e-50	108.19388284693
MTHFD1L	1.5630682102684	8.10937939244663	15.9820906328613	2.43009986839488e-52	2.95759062894018e-50	108.167383544608
ENPP1	-1.93341186100903	10.3564731527094	-15.9818193549691	2.43885855734254e-52	2.95759062894018e-50	108.163812472908
CDCA2	2.20326842410069	6.72901042692939	15.9798293339229	2.50407947365503e-52	3.01860818455129e-50	108.137617267298
CHEK1	1.33972089319524	7.56763128078818	15.9777304134925	2.57475439572452e-52	3.0854394095984e-50	108.109990892452
REEP5	-0.943820850874287	12.3626032019704	-15.9512770828744	3.65588738603369e-52	4.35523713776202e-50	107.762010232656
SYTL5	-3.82887348257045	6.25550246305419	-15.9437448501339	4.03939313956954e-52	4.78396431944809e-50	107.662996222522
SLC15A1	3.37112428555519	2.17308505747126	15.9195255101346	5.5658217586548e-52	6.55343152652774e-50	107.344831060787
KIAA0020	0.946130375320179	9.38401806239737	15.9124909648272	6.10855222871623e-52	7.15089015814804e-50	107.25247875894
NCAPD2	1.074904194231	10.6959208538588	15.9118666290508	6.15919770898388e-52	7.16873977024952e-50	107.244283521252
KCNK5	2.57543682592716	6.97195886699507	15.897002241252	7.49670410702347e-52	8.67561437573939e-50	107.049230807267
ZNF703	-2.34033386345919	8.95025977011494	-15.8832478542572	8.9907777621832e-52	1.03455245022576e-49	106.868850031874
SPATA20	-1.4259854148569	9.98515106732348	-15.8825149162952	9.07824379583172e-52	1.03871521668466e-49	106.85924084809
MDGA2	2.114499224858	1.00920467980296	15.8816590161034	9.18145790061163e-52	1.0446229517033e-49	106.848019935687
TCAM1P	3.03721530459962	2.15609367816092	15.8631427582373	1.17242932316687e-51	1.3264826063003e-49	106.605367543273
XPO5	0.889782145005007	10.4056019704434	15.8485800675086	1.42080606828457e-51	1.59856469416107e-49	106.414656439652
