Gene	RF_Importance
SLC6A14	0.343622184465984
FLJ45983	0.338745838118621
SLC39A12	0.336813864997896
STOX2	0.335572764745552
FAM83B	0.331998394959993
GP2	0.331608398859213
MAGED2	0.330074512422901
A2ML1	0.327637757443454
CENPI	0.327356169750441
FAM72A	0.324092227949686
CCDC74B	0.324059861550176
C17orf28	0.320549850766307
MEX3A	0.316217776267499
MAP2	0.315907453865984
PRR11	0.314474129892993
ZNF552	0.311848736402952
KRT83	0.308544019027305
SRRM3	0.306032311264256
POU4F1	0.305805823097498
CXorf49B	0.305156809293855
KIF14	0.301784788121379
PRRT3	0.301561745734884
SHROOM1	0.301006978522875
CCDC78	0.300667736380837
VSNL1	0.297623932050568
NPAS1	0.296891245091366
KCNK5	0.296863622545353
F7	0.295062649811717
LCT	0.293317117115681
CDH3	0.291795180415606
KCNS1	0.29021216424202
C15orf59	0.287455120543161
GABBR2	0.284050275520311
NUDT12	0.283510906746595
TAF4B	0.281748563496838
ADRA2C	0.281234501857902
MKI67	0.280600351876949
GABRP	0.279115914181998
SULT1A2	0.278004686680471
LRRC17	0.276926568162154
INA	0.276784347316075
KLK6	0.276378578691256
MAPT	0.276310376366702
SOX10	0.274659932495752
DOC2A	0.272591053359069
EVL	0.272544446424
PCSK4	0.272452640593643
ABCC11	0.271746290972591
DLGAP5	0.269288130664534
CYP4B1	0.268850668268421
RGS11	0.268455275688027
DACH1	0.267877753750759
GRM4	0.267218742933222
ABTB2	0.26631606075277
ERBB2	0.265923900454529
SKA3	0.26558954728744
NDC80	0.265098114765145
MAST4	0.261945474344861
HJURP	0.26178717499571
SCUBE2	0.260894778979947
LEMD1	0.260721509818358
ASTN2	0.25940952120666
C9orf170	0.258460509751737
SIDT1	0.256547552586129
FIGN	0.255877387627341
MLXIPL	0.255806025560261
CFD	0.255772242151913
C9orf169	0.255066570033203
GJB3	0.253795337968448
CCDC40	0.251990517353021
CRAT	0.251699778785016
KCNN4	0.251630247985877
NEIL3	0.250681657502871
C6orf218	0.250376316433688
SLC16A6	0.250246088605084
CHODL	0.249962542231993
BUB1	0.248707011108108
MMP7	0.247868149532082
SLPI	0.246669032160817
B3GNT3	0.246629950885915
GPR160	0.246448319348901
TRIM2	0.245106299872995
CAPN6	0.244965691391728
C14orf174	0.244735771149423
S100A8	0.244337682198703
HPX	0.242311235837022
ACADSB	0.242230393368036
UGT2B7	0.241606652903759
CHRM3	0.240896343702419
DNAH7	0.240088862927311
