Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
MLPH	1.26243737728551	0	0	-4.0418742309834	3.32469562419987e-87	FALSE	6.09654853636103
CYP2B7P1	0.660086584179628	0	0	-5.63830221405502	2.78590661662134e-51	FALSE	6.0577345632976
FSIP1	1.20788623769047	0	0	-4.09646045884842	1.16600325430281e-60	FALSE	5.97147248126963
MKI67	0.280600351876949	0	306	1.61578817908453	3.07665316859896e-26	FALSE	5.87419723212655
KIF11	0.345948872182927	0	316	1.20207109477672	3.65917024825697e-24	FALSE	5.77027996357738
BUB1	0.248707011108108	0	292	1.81479256710101	4.21808032107879e-31	FALSE	5.72330204443271
TMSB15A	0.221448913124762	0.136586315793296	0	2.58732850206037	5.45572421998098e-46	FALSE	5.70783961766998
CCNA2	0.13777929664218	0	320	1.6466398396258	4.97449789796116e-34	FALSE	5.69883656167494
DSC2	1.76406106854184	0	0	2.31383633812228	1.01501292616239e-53	FALSE	5.59048645360598
CDK1	0.0800090481622921	0	350	1.23550507628914	2.72479037629978e-19	FALSE	5.58323761744295
GAMT	0.405540621299944	-0.117479311599002	0	-2.47610572669563	7.17309519457486e-65	FALSE	5.47732022639886
AURKB	0.120810605771495	0	294	1.94289131751865	7.38260730305041e-31	FALSE	5.47357400246635
FFAR2	0.181538529434817	-0.156345215442176	0	-1.76745421984631	2.46829991914231e-23	FALSE	5.23173563720037
PLK1	0.0892458277101852	0	302	1.71307616883841	7.15088041380265e-28	FALSE	5.22151777849731
ENPP1	0.216328450299651	-0.145011837070261	0	-1.93341186100903	2.95759062894018e-50	FALSE	5.13712494950624
TPSG1	1.35170636842978	0	0	-3.04024300033412	2.25592254833897e-36	FALSE	5.06889143982447
AURKA	0.0879302775119036	0	318	1.34403209934293	9.0857939048232e-23	FALSE	5.06504872900508
PSAT1	1.13225204679032	0	0	3.57644351264061	4.48004328206611e-61	FALSE	4.99338961258141
CCND1	0.116027659840716	0	302	-1.46735201470097	1.7853676873818e-25	FALSE	4.98720125691118
CXXC5	1.72350371050181	0	0	-1.8598437041987	1.21217513544411e-68	FALSE	4.82942572079962
LCT	0.293317117115681	0.112338272439566	0	2.44601090767346	7.17712658647571e-42	FALSE	4.82554953059981
ART3	0.815293551063902	0	0	4.28710625236664	1.45255695865494e-69	FALSE	4.79819775249609
RRM2	0.138666543508202	0	292	1.40190871366522	3.75258652894999e-18	FALSE	4.76454068962868
KCNK15	1.13609815179979	0	0	-3.34312515202139	1.95442312387862e-53	FALSE	4.69224186149202
